Hate Crime - Online,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Racial,Religion/Faith,Disability,Sexsual Orientation,Transgender,Alternative Sub-culture,Other,,,ALL OTHER THEFT OFFENCES,ARSON,BICYCLE THEFT,BURGLARY - RESIDENTIAL,CRIMINAL DAMAGE,MISCELLANEOUS CRIMES AGAINST SOCIETY,OTHER SEXUAL OFFENCES,POSSESSION OF WEAPONS OFFENCES,PUBLIC DISORDER,RAPE,ROBBERY OF PERSONAL PROPERTY,SHOPLIFTING,STALKING AND HARASSMENT,THEFT FROM MOTOR VEHICLE,THEFT FROM THE PERSON,VIOLENCE WITH INJURY,VIOLENCE WITHOUT INJURY
,Jan-15,,,,,,,,,Jan-15,,,,,,,,,,,,,,,,,
,Feb-15,,,,,,,,,Feb-15,,,,,,,,,,,,,,,,,
,Mar-15,,,,,,,,,Mar-15,,,,,,,,,,,,,,,,,
,Apr-15,,,,,,,,,Apr-15,,,,,,,,,,,,,,,,,
,May-15,,,,,,,,,May-15,,,,,,,,,,,,,,,,,
,Jun-15,,,,,,,,,Jun-15,,,,,,,,,,,,,,,,,
,Jul-15,1,,,,1,,,,Jul-15,,,,,,,,,1,,,,1,,,,
,Aug-15,,,,,,,,,Aug-15,,,,,,,,,,,,,,,,,
,Sep-15,,1,,,,,,,Sep-15,,,,,,,,,,,,,1,,,,
,Oct-15,,,,,,,,,Oct-15,,,,,,,,,,,,,,,,,
,Nov-15,,,,,,,,,Nov-15,,,,,,,,,,,,,,,,,
,Dec-15,1,,,,,,,,Dec-15,,,,,,,,,,,,,1,,,,
,Jan-16,,,,,,,,,Jan-16,,,,,,,,,,,,,,,,,
,Feb-16,1,,,,,,,,Feb-16,,,,,,,,,,,,,1,,,,
,Mar-16,,,,,,,,,Mar-16,,,,,,,,,,,,,,,,,
,Apr-16,1,,,,,,,,Apr-16,,,,,,,,,,,,,1,,,,
,May-16,1,,,,,,,,May-16,,,,,,,,,1,,,,,,,,
,Jun-16,3,,,1,,,,,Jun-16,,,,,,,,,2,,,,2,,,,
,Jul-16,1,,1,,,,,,Jul-16,,,,,,1,,,1,,,,,,,,
,Aug-16,,,,1,,,,,Aug-16,,,,,,,,,,,,,1,,,,
,Sep-16,,,,,,,,,Sep-16,,,,,,,,,,,,,,,,,
,Oct-16,,1,,,,,,,Oct-16,,,,,,,,,1,,,,,,,,
,Nov-16,,,,,,,,,Nov-16,,,,,,,,,,,,,,,,,
,Dec-16,,,,,,,,,Dec-16,,,,,,,,,,,,,,,,,
,Jan-17,,,,,,,,,Jan-17,,,,,,,,,,,,,,,,,
,Feb-17,,1,,,,,,,Feb-17,,,,,,,,,,,,,1,,,,
,Mar-17,1,,,,,,,,Mar-17,,,,,,,,,,,,,1,,,,
,Apr-17,1,,,,,,,,Apr-17,,,,,,,,,,,,,1,,,,
,May-17,1,1,,,,,,,May-17,,,,,,,,,,,,,1,,,,
,Jun-17,,,,,,,,,Jun-17,,,,,,,,,,,,,,,,,
,Jul-17,,,,,,,,,Jul-17,,,,,,,,,,,,,,,,,
,Aug-17,,,,,,,,,Aug-17,,,,,,,,,,,,,,,,,
,Sep-17,,,,,,,,,Sep-17,,,,,,,,,,,,,,,,,
,Oct-17,,,,,,,,,Oct-17,,,,,,,,,,,,,,,,,
,Nov-17,1,,,,,,,,Nov-17,,,,,,,,,1,,,,1,,,,
,Dec-17,3,,,,,,1,,Dec-17,,,,,,,,,1,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hate Incident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Racial,Religion/Faith,Disability,Sexsual Orientation,Transgender,Alternative Sub-culture,Other,,,,,,,,,,,,,,,,,,,
,Jan-15,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb-15,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,Mar-15,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Apr-15,2,,,1,,,,,,,,,,,,,,,,,,,,,,
,May-15,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun-15,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
,Jul-15,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Aug-15,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Sep-15,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,Oct-15,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
,Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec-15,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb-16,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr-16,,1,,,,,,,,,,,,,,,,,,,,,,,,
,May-16,,,1,,,,2,,,,,,,,,,,,,,,,,,,
,Jun-16,2,,1,,1,,,,,,,,,,,,,,,,,,,,,
,Jul-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug-16,1,,,2,,,,,,,,,,,,,,,,,,,,,,
,Sep-16,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov-16,2,1,,,,,4,,,,,,,,,,,,,,,,,,,
,Dec-16,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb-17,3,,1,3,,,,,,,,,,,,,,,,,,,,,,
,Mar-17,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,Apr-17,,,1,,,,,,,,,,,,,,,,,,,,,,,
,May-17,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun-17,,,,,,,1,,,,,,,,,,,,,,,,,,,
,Jul-17,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug-17,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,Sep-17,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct-17,2,,,1,,,,,,,,,,,,,,,,,,,,,,
,Nov-17,2,,,1,,,,,,,,,,,,,,,,,,,,,,
,Dec-17,2,,1,,,,,,,,,,,,,,,,,,,,,,,
